exp,episode,MA10
0,0,-176.46129032258102
0,1,-170.5396704320492
0,2,-148.4667761728056
0,3,-149.5990342254128
0,4,-146.26994902981488
0,5,-147.37796594843192
0,6,-148.00415514473903
0,7,-152.51720042041632
0,8,-156.03463922479938
