car_angle,distance_to_tiles,on_grass,desired_angle,angle_diff,car_pos_x,car_pos_y
6.160822,2.999598,0.0,6.1546082,0.0062135747,221.32498,-51.26138
2.5593317,18.247477,1.0,6.1546082,2.687909,239.66777,-28.960238
